STATE,Year,Total murders,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.",Murder Rate (per 100k),Firearms Rate,Handgun Rate,Rifles Rate,Shotguns Rate,Firearms (type unknown) Rate,Knives or cutting instruments Rate,Other Weapons Rate,"Hands, fists, feet, Rate",HFR,HFR_se,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,AvgGunOwnershipEst,Population Estimate,Homicides per 100k Inhabitants,Est. Homicides,"Deaths, Excluding Firearms",Deaths,Population,"Crude Rate Per 100,000",FIREARM FATAILTIY RATE,FIREARM DEATHS,Guns Owners,Firearm Owners per 100k inhabitants,Homicides per Firearm Owner,Firearms per Homicide,Firearm Owners per Fatality,Firearm / Overall Deaths
Tennessee,2000,,,,,,,,,,,,,,,,,,,0.489,0.026,0.493150685,0.734589041,,0.57904243,0.45479124,0.452773833,0.4955358343,5703129,7.2,410.63,"55,246","55,246","5,689,283",971.1,,,2826105,49554,0.0001452972621,6882,,
Texas,2000,,,,,,,,,,,,,,,,,,,0.417,0.026,0.495073892,0.64845173,,0.482721816,0.316150226,0.478260448,0.42571083,20944937,5.9,1235.75,"149,939","149,939","20,851,820",719.1,,,8916487,42571,0.000138591729,7215,,
Utah,2000,,,,,,,,,,,,,,,,,,,0.505,0.029,0.328767123,0.666666667,,0.505939808,,0.597471446,0.551705627,2244207,1.9,42.64,"12,364","12,364","2,233,169",553.7,,,1238142,55171,0.00003443865545,29037,,
Vermont,2000,,,,,,,,,,,,,,,,,,,0.47,0.026,0.333333333,0.647058824,,0.471592348,0.378544848,0.521312575,0.4571499237,609658,1.5,9.14,"5,127","5,127","608,827",842.1,,,278705,45715,0.00003281199279,30477,,
Virginia,2000,,,,,,,,,,,,,,,,,,,0.418,0.026,0.383233533,0.698835275,,0.500786993,0.356211373,0.414872971,0.4239571123,7105425,5.7,405.01,"56,282","56,282","7,078,515",795.1,,,3012395,42396,0.0001344475617,7438,,
Washington,2000,,,,,,,,,,,,,,,,,,,0.402,0.026,0.364285714,0.577512777,,0.461883445,0.405147017,0.414340183,0.4271235483,5911439,3.3,195.08,"43,941","43,941","5,894,121",745.5,,,2524915,42712,0.00007726101763,12943,,
West Virginia,2000,,,,,,,,,,,,,,,,,,,0.541,0.029,0.450980392,0.773195876,,0.635191634,,0.492106304,0.563648969,1806694,2.5,45.17,"21,114","21,114","1,808,344","1,167.60",,,1018341,56365,0.00004435384676,22546,,
Wisconsin,2000,,,,,,,,,,,,,,,,,,,0.466,0.026,0.260504202,0.579617834,,0.513695897,0.406064039,0.501407732,0.473722556,5373849,3.2,171.96,"46,461","46,461","5,363,675",866.2,,,2545713,47372,0.00006755008727,14804,,
Wyoming,2000,,,,,,,,,,,,,,,,,,,0.586,0.036,0.533333333,0.617647059,,0.587979516,,,0.587979516,493980,2.4,11.86,"3,920","3,920","493,782",793.9,,,290450,58798,0.00004081774849,24499,,
Alabama,2001,,,,,,,,,,,,,,,,,,,0.522,0.021,0.608247423,0.790361446,0.51973616,,,,0.51973616,4463343,8.5,379.38,"45,316","45,316","4,467,634","1,014.30",,,2319761,51974,0.0001635445184,6115,,
