Year,STATE,HFR,HFR_se,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,AvgGunOwnershipEst
2000,New Mexico,0.438,0.029,0.292307692,0.595419847,,0.461462767,,0.476534103,0.468998435
2001,New Mexico,0.391,0.021,0.316455696,0.575971731,0.378386694,,,,0.378386694
2002,New Mexico,0.431,0.021,0.396825397,0.65034965,0.41742985,,,,0.41742985
2003,New Mexico,0.407,0.032,0.37037037,0.660899654,,,,0.378907712,0.378907712
2004,New Mexico,0.391,0.018,0.323076923,0.60137457,0.388218787,,0.309483743,0.426921058,0.3748745293
2005,New Mexico,0.406,0.044,0.28358209,0.578181818,,,,,
2006,New Mexico,0.392,0.035,0.28358209,0.610526316,,,0.329796571,,0.329796571
2007,New Mexico,0.428,0.032,0.293333333,0.512269939,,,,0.504179365,0.504179365
2008,New Mexico,0.357,0.035,0.240384615,0.53968254,,,0.319717318,,0.319717318
2009,New Mexico,0.375,0.032,0.25,0.585616438,,,,0.394539484,0.394539484
2010,New Mexico,0.375,0.028,0.196078431,0.591639871,,,0.308116497,0.42243941,0.3652779535
2011,New Mexico,0.366,0.032,0.304761905,0.6,,,,0.358326303,0.358326303
2012,New Mexico,0.403,0.026,0.230769231,0.609467456,,0.507792121,0.370271281,0.402759529,0.426940977
2013,New Mexico,0.482,0.032,0.296296296,0.588235294,,,,0.503406175,0.503406175
2014,New Mexico,0.356,0.035,0.353535354,0.597142857,,,0.260985109,,0.260985109
2015,New Mexico,0.37,0.032,0.325396825,0.625668449,,,,0.413907533,0.413907533
2016,New Mexico,0.359,0.028,0.355140187,0.563186813,,,0.296181823,0.4459972,0.3710895115
1980,New York,0.201,0.031,0.114649682,0.367109635,,0.221793217,0.202483038,,0.2121381275
1981,New York,0.228,0.047,0.14047619,0.393139842,,,,,
1982,New York,0.206,0.036,0.127586207,0.409221902,,,0.178797543,,0.178797543
1983,New York,0.214,0.038,0.159468439,0.443494777,,0.16079037,,,0.16079037
1984,New York,0.245,0.036,0.136231884,0.39059501,,,0.258023937,,0.258023937
1985,New York,0.241,0.031,0.153558052,0.445873526,,0.200559048,0.25674272,,0.228650884
1986,New York,0.242,0.038,0.174061433,0.457786116,,0.214315049,,,0.214315049
1987,New York,0.271,0.036,0.150170648,0.480083857,,,0.249407508,,0.249407508
1988,New York,0.258,0.031,0.166051661,0.479009688,,0.273599833,0.230816816,,0.2522083245
1989,New York,0.305,0.031,0.15727003,0.448392555,,0.388226931,0.2996946,,0.3439607655
1990,New York,0.266,0.031,0.139664804,0.451046025,,0.284144177,0.273161016,,0.2786525965
1991,New York,0.269,0.031,0.154545455,0.416267943,,0.329431084,0.272322952,,0.300877018
1992,New York,0.256,0.047,0.147058824,0.447797716,,,,,
1993,New York,0.262,0.031,0.210727969,0.464826358,,0.251524623,0.276035523,,0.263780073
1994,New York,0.235,0.036,0.207430341,0.446808511,,,0.208753819,,0.208753819
1995,New York,0.231,0.047,0.145522388,0.438294011,,,,,
1996,New York,0.193,0.031,0.14559387,0.422138837,,0.203529552,0.184599799,,0.1940646755
1997,New York,0.205,0.029,0.1,0.422365989,,0.256970874,,0.234421667,0.2456962705
1998,New York,0.184,0.036,0.141732283,0.421621622,,,0.170813994,,0.170813994
1999,New York,0.197,0.036,0.161417323,0.422505308,,0.199693759,,,0.199693759
2000,New York,0.197,0.026,0.171717172,0.445396146,,0.232768445,0.149675148,0.258277539,0.2135737107
2001,New York,0.182,0.021,0.102040816,0.424603175,0.177267201,,,,0.177267201
2002,New York,0.177,0.02,0.092050209,0.393326593,0.186465437,,0.169640638,,0.1780530375
2003,New York,0.157,0.032,0.132780083,0.409482759,,,,0.179804968,0.179804968
2004,New York,0.174,0.018,0.074418605,0.396090535,0.185761964,,0.181308256,0.20508603,0.19071875
2005,New York,0.192,0.044,0.141552511,0.43814433,,,,,
2006,New York,0.164,0.035,0.110671937,0.357875116,,,0.191096881,,0.191096881
2007,New York,0.14,0.032,0.108761329,0.38028169,,,,0.176018489,0.176018489
2008,New York,0.142,0.035,0.099378882,0.365225391,,,0.155566818,,0.155566818
2009,New York,0.152,0.032,0.093959732,0.352100089,,,,0.215160677,0.215160677
2010,New York,0.143,0.028,0.092063492,0.349025974,,,0.147223267,0.207987236,0.1776052515
2011,New York,0.158,0.032,0.113372093,0.354642314,,,,0.228099905,0.228099905
2012,New York,0.154,0.026,0.089330025,0.367816092,,0.242788399,0.177914434,0.171402631,0.197368488
2013,New York,0.124,0.032,0.081683168,0.336710834,,,,0.237257904,0.237257904
2014,New York,0.126,0.035,0.082191781,0.347068146,,,0.128441158,,0.128441158
2015,New York,0.119,0.032,0.066059226,0.323165705,,,,0.232022857,0.232022857
2016,New York,0.145,0.028,0.092457421,0.356466877,,,0.162760397,0.262691659,0.212726028
1980,North Carolina,0.579,0.031,0.58490566,0.78313253,,0.558288946,0.588481908,,0.573385427
1981,North Carolina,0.547,0.047,0.510416667,0.804964539,,,,,
1982,North Carolina,0.571,0.036,0.514450867,0.785942492,,,0.552467956,,0.552467956
1983,North Carolina,0.552,0.038,0.538888889,0.776408451,,0.600857935,,,0.600857935
1984,North Carolina,0.585,0.036,0.523809524,0.791601866,,,0.577878662,,0.577878662
1985,North Carolina,0.554,0.031,0.54494382,0.774834437,,0.556500095,0.537314727,,0.546907411
1986,North Carolina,0.522,0.038,0.505813953,0.75083612,,0.544814654,,,0.544814654
1987,North Carolina,0.573,0.036,0.512048193,0.760517799,,,0.572306353,,0.572306353
1988,North Carolina,0.561,0.031,0.493333333,0.783359498,,0.705812632,0.4611964,,0.583504516
1989,North Carolina,0.563,0.031,0.526627219,0.799145299,,0.596477948,0.516460268,,0.556469108
1990,North Carolina,0.541,0.031,0.5,0.750337382,,0.555727642,0.519837734,,0.537782688
1991,North Carolina,0.565,0.031,0.531073446,0.767616192,,0.606313197,0.536660018,,0.5714866075
1992,North Carolina,0.529,0.047,0.530612245,0.761570827,,,,,
1993,North Carolina,0.573,0.031,0.542253521,0.783616692,,0.638360086,0.526707881,,0.5825339835
1994,North Carolina,0.54,0.036,0.617283951,0.74829932,,,0.494490693,,0.494490693
1995,North Carolina,0.461,0.047,0.476683938,0.723076923,,,,,
1996,North Carolina,0.516,0.031,0.56741573,0.773972603,,0.513517651,0.50717925,,0.5103484505
1997,North Carolina,0.474,0.029,0.55801105,0.710344828,,0.540575673,,0.488947568,0.5147616205
1998,North Carolina,0.464,0.036,0.525714286,0.684750733,,,0.453408962,,0.453408962
1999,North Carolina,0.417,0.036,0.508287293,0.675675676,,0.451796965,,,0.451796965
2000,North Carolina,0.426,0.026,0.433035714,0.701472557,,0.512567186,0.384920822,0.446268861,0.4479189563
2001,North Carolina,0.382,0.021,0.400990099,0.693081761,0.377025745,,,,0.377025745
2002,North Carolina,0.397,0.02,0.461538462,0.682680152,0.410856653,,0.313041589,,0.361949121
2003,North Carolina,0.374,0.032,0.394871795,0.713157895,,,,0.38566607,0.38566607
2004,North Carolina,0.383,0.018,0.415584416,0.64321608,0.40784309,,0.326734806,0.373283237,0.3692870443
2005,North Carolina,0.375,0.044,0.347107438,0.714471969,,,,,
2006,North Carolina,0.351,0.035,0.404761905,0.653395785,,,0.326695124,,0.326695124
2007,North Carolina,0.36,0.032,0.375968992,0.622710623,,,,0.417749651,0.417749651
2008,North Carolina,0.345,0.035,0.411111111,0.625560538,,,0.332156094,,0.332156094
2009,North Carolina,0.341,0.032,0.420833333,0.617773019,,,,0.378758785,0.378758785
2010,North Carolina,0.35,0.028,0.406015038,0.65969163,,,0.326312303,0.390741173,0.358526738
2011,North Carolina,0.406,0.032,0.396428571,0.66130761,,,,0.500434184,0.500434184
2012,North Carolina,0.379,0.026,0.343465046,0.622779519,,0.522304067,0.342388987,0.421924056,0.42887237
2013,North Carolina,0.355,0.032,0.403389831,0.659251769,,,,0.465539339,0.465539339
2014,North Carolina,0.334,0.035,0.378746594,0.630456853,,,0.317976417,,0.317976417
2015,North Carolina,0.316,0.032,0.348214286,0.626168224,,,,0.411070547,0.411070547
2016,North Carolina,0.371,0.028,0.389972145,0.639053254,,,0.299145749,0.544534929,0.421840339
1980,North Dakota,0.53,0.047,,0.627118644,,,,,
1981,North Dakota,0.567,0.047,,0.588235294,,,,,
1982,North Dakota,0.558,0.047,,0.661764706,,,,,
1983,North Dakota,0.53,0.038,,0.631578947,,0.502141444,,,0.502141444
1984,North Dakota,0.597,0.036,,0.560606061,,,0.647811417,,0.647811417
1985,North Dakota,0.627,0.036,,0.684931507,,,0.618246043,,0.618246043
1986,North Dakota,0.542,0.047,,0.561403509,,,,,
1987,North Dakota,0.596,0.036,,0.652173913,,,0.554621607,,0.554621607
1988,North Dakota,0.598,0.031,,0.642857143,,0.680883558,0.513239471,,0.5970615145
1989,North Dakota,0.565,0.031,0.285714286,0.634920635,,0.628150848,0.486753537,,0.5574521925
1990,North Dakota,0.553,0.031,0.142857143,0.606060606,,0.602486015,0.513550648,,0.5580183315
1991,North Dakota,0.518,0.031,0.0625,0.620689655,,0.61540476,0.429189255,,0.5222970075
1992,North Dakota,0.574,0.047,0.181818182,0.685185185,,,,,
1993,North Dakota,0.594,0.031,0.411764706,0.693548387,,0.594737537,0.528337126,,0.5615373315
1994,North Dakota,0.522,0.036,0,0.623376623,,,0.502682215,,0.502682215
1995,North Dakota,0.598,0.047,0.461538462,0.679012346,,,,,
1996,North Dakota,0.566,0.036,0.214285714,0.666666667,,,0.52190833,,0.52190833
1997,North Dakota,0.54,0.033,0.615384615,0.626865672,,,,0.499842145,0.499842145
1998,North Dakota,0.512,0.036,0.166666667,0.590909091,,,0.472910266,,0.472910266
1999,North Dakota,0.56,0.036,0.352941176,0.589285714,,0.545674194,,,0.545674194
2000,North Dakota,0.55,0.026,0.222222222,0.559322034,,0.598846513,0.51741746,0.593337367,0.5698671133
2001,North Dakota,0.503,0.021,0.222222222,0.606557377,0.497766222,,,,0.497766222
2002,North Dakota,0.517,0.02,0.142857143,0.662337662,0.539406756,,0.344395968,,0.441901362
2003,North Dakota,0.51,0.032,0.066666667,0.606060606,,,,0.539818427,0.539818427
2004,North Dakota,0.546,0.019,0.3,0.603174603,0.553665012,,,0.55745699,0.555561001
2005,North Dakota,0.546,0.044,0.333333333,0.627906977,,,,,
2006,North Dakota,0.484,0.044,0.235294118,0.506849315,,,,,
2007,North Dakota,0.538,0.032,0.125,0.551724138,,,,0.597014914,0.597014914
2008,North Dakota,0.586,0.044,0.285714286,0.708333333,,,,,
2009,North Dakota,0.537,0.032,0.25,0.602564103,,,,0.558776441,0.558776441
2010,North Dakota,0.543,0.032,0.235294118,0.584269663,,,,0.575169469,0.575169469
2011,North Dakota,0.541,0.032,0.3,0.523255814,,,,0.578879481,0.578879481
2012,North Dakota,0.561,0.029,0.388888889,0.643678161,,0.564610826,,0.568746829,0.5666788275
2013,North Dakota,0.567,0.032,0.2,0.666666667,,,,0.662695277,0.662695277
2014,North Dakota,0.57,0.044,0.291666667,0.690265487,,,,,
2015,North Dakota,0.504,0.032,0.416666667,0.66,,,,0.534076593,0.534076593
2016,North Dakota,0.533,0.032,0.333333333,0.584070796,,,,0.640037169,0.640037169
1980,Ohio,0.458,0.031,0.34516129,0.606339468,,0.447903268,0.469028314,,0.458465791
1981,Ohio,0.444,0.047,0.333333333,0.62601626,,,,,
1982,Ohio,0.487,0.036,0.327327327,0.604012672,,,0.5062317,,0.5062317
1983,Ohio,0.421,0.038,0.352112676,0.617256637,,0.404066076,,,0.404066076
1984,Ohio,0.464,0.036,0.336805556,0.632443532,,,0.353670671,,0.353670671
1985,Ohio,0.408,0.031,0.350877193,0.635635636,,0.377446657,0.368809778,,0.3731282175
1986,Ohio,0.425,0.038,0.358306189,0.665601704,,0.385073094,,,0.385073094
1987,Ohio,0.472,0.036,0.360902256,0.629946524,,,0.462022096,,0.462022096
1988,Ohio,0.458,0.031,0.34469697,0.638947368,,0.476795973,0.436882956,,0.4568394645
1989,Ohio,0.479,0.031,0.3866171,0.654244306,,0.50227086,0.452653222,,0.477462041
1990,Ohio,0.486,0.031,0.342975207,0.654334038,,0.488189297,0.491541853,,0.489865575
1991,Ohio,0.472,0.031,0.43153527,0.666666667,,0.488484832,0.43313108,,0.460807956
1992,Ohio,0.462,0.047,0.400843882,0.646812957,,,,,
1993,Ohio,0.443,0.031,0.401826484,0.682692308,,0.488223616,0.354236081,,0.4212298485
1994,Ohio,0.477,0.036,0.46875,0.661166117,,,0.437949643,,0.437949643
1995,Ohio,0.448,0.047,0.430769231,0.623582766,,,,,
1996,Ohio,0.397,0.031,0.422459893,0.607843137,,0.360765888,0.363027882,,0.361896885
1997,Ohio,0.362,0.029,0.334883721,0.596048299,,0.350620419,,0.365199732,0.3579100755
1998,Ohio,0.381,0.036,0.436170213,0.608695652,,,0.291653389,,0.291653389
1999,Ohio,0.365,0.036,0.338308458,0.619311876,,0.311107439,,,0.311107439
2000,Ohio,0.351,0.026,0.340314136,0.578595318,,0.433830346,0.325663561,0.33425432,0.3645827423
2001,Ohio,0.324,0.021,0.31627907,0.60059761,0.307065789,,,,0.307065789
2002,Ohio,0.321,0.02,0.26848249,0.588349515,0.303768532,,0.313263191,,0.3085158615
2003,Ohio,0.335,0.032,0.291005291,0.584180791,,,,0.334181755,0.334181755
2004,Ohio,0.328,0.018,0.307420495,0.55019305,0.300320643,,0.383543574,0.372372622,0.3520789463
2005,Ohio,0.348,0.044,0.275,0.546775658,,,,,
2006,Ohio,0.353,0.035,0.274647887,0.526416907,,,0.353388301,,0.353388301
2007,Ohio,0.324,0.032,0.267241379,0.561618062,,,,0.332383546,0.332383546
2008,Ohio,0.365,0.035,0.239583333,0.547153025,,,0.377463867,,0.377463867
2009,Ohio,0.368,0.032,0.292372881,0.554255319,,,,0.412566438,0.412566438
2010,Ohio,0.357,0.028,0.295918367,0.556331878,,,0.358357615,0.370650984,0.3645042995
2011,Ohio,0.334,0.032,0.305369128,0.544130249,,,,0.363715019,0.363715019
2012,Ohio,0.362,0.026,0.322884013,0.556827473,,0.438550123,0.323793845,0.395153779,0.3858325823
2013,Ohio,0.359,0.032,0.312684366,0.584667228,,,,0.452978524,0.452978524
2014,Ohio,0.366,0.035,0.289634146,0.558039553,,,0.331477919,,0.331477919
2015,Ohio,0.388,0.032,0.327433628,0.57208238,,,,0.479343291,0.479343291
2016,Ohio,0.419,0.028,0.320547945,0.602831595,,,0.383763615,0.534044862,0.4589042385
1980,Oklahoma,0.609,0.031,0.574257426,0.714285714,,0.608713625,0.599275578,,0.6039946015
1981,Oklahoma,0.58,0.047,0.559055118,0.712209302,,,,,
1982,Oklahoma,0.595,0.036,0.549019608,0.796033994,,,0.516773302,,0.516773302
1983,Oklahoma,0.575,0.038,0.631067961,0.753753754,,0.530646055,,,0.530646055
1984,Oklahoma,0.612,0.036,0.554347826,0.733146067,,,0.590075949,,0.590075949
1985,Oklahoma,0.599,0.031,0.567010309,0.734908136,,0.538889344,0.610757163,,0.5748232535
1986,Oklahoma,0.596,0.038,0.622222222,0.734693878,,0.639451745,,,0.639451745
1987,Oklahoma,0.649,0.036,0.628865979,0.770348837,,,0.633170069,,0.633170069
1988,Oklahoma,0.637,0.031,0.62195122,0.780120482,,0.795622832,0.521888664,,0.658755748
1989,Oklahoma,0.643,0.031,0.575,0.75,,0.708140965,0.626213249,,0.667177107
1990,Oklahoma,0.655,0.031,0.589041096,0.771159875,,0.695089478,0.658031578,,0.676560528
1991,Oklahoma,0.604,0.031,0.5,0.75,,0.688705738,0.563117814,,0.625911776
1992,Oklahoma,0.549,0.047,0.472527473,0.748031496,,,,,
1993,Oklahoma,0.605,0.031,0.551020408,0.732824427,,0.692269443,0.565030074,,0.6286497585
1994,Oklahoma,0.572,0.036,0.488095238,0.738419619,,,0.549242654,,0.549242654
1995,Oklahoma,0.52,0.047,0.53125,0.699507389,,,,,
1996,Oklahoma,0.537,0.031,0.540540541,0.738764045,,0.538859254,0.50084784,,0.519853547
1997,Oklahoma,0.55,0.029,0.540816327,0.654135338,,0.574871111,,0.615011465,0.594941288
1998,Oklahoma,0.498,0.036,0.522727273,0.660574413,,,0.457731042,,0.457731042
1999,Oklahoma,0.498,0.036,0.46,0.691326531,,0.547831611,,,0.547831611
2000,Oklahoma,0.558,0.026,0.427184466,0.652284264,,0.611410329,0.480949415,0.675422795,0.5892608463
2001,Oklahoma,0.48,0.021,0.43956044,0.688679245,0.480138888,,,,0.480138888
2002,Oklahoma,0.483,0.02,0.480769231,0.659949622,0.480902875,,0.466090352,,0.4734966135
2003,Oklahoma,0.467,0.032,0.423076923,0.623115578,,,,0.512933805,0.512933805
2004,Oklahoma,0.495,0.018,0.414414414,0.673417722,0.480446839,,0.543804683,0.527032336,0.5170946193
2005,Oklahoma,0.441,0.044,0.372881356,0.638613861,,,,,
2006,Oklahoma,0.468,0.035,0.387387387,0.636150235,,,0.469117674,,0.469117674
2007,Oklahoma,0.497,0.032,0.416,0.647783251,,,,0.567673729,0.567673729
2008,Oklahoma,0.508,0.035,0.403669725,0.64806867,,,0.544042545,,0.544042545
2009,Oklahoma,0.508,0.032,0.504504505,0.673245614,,,,0.560952955,0.560952955
2010,Oklahoma,0.488,0.028,0.466101695,0.642,,,0.407984563,0.566877012,0.4874307875
2011,Oklahoma,0.533,0.032,0.539007092,0.65942029,,,,0.602972242,0.602972242
2012,Oklahoma,0.563,0.026,0.514492754,0.639097744,,0.610869429,0.546974273,0.625388544,0.5944107487
2013,Oklahoma,0.537,0.032,0.529850746,0.68173258,,,,0.663308301,0.663308301
2014,Oklahoma,0.493,0.035,0.451428571,0.634581105,,,0.480520994,,0.480520994
2015,Oklahoma,0.487,0.032,0.461988304,0.628432956,,,,0.595700298,0.595700298
2016,Oklahoma,0.549,0.028,0.472049689,0.667170953,,,0.514439092,0.6872821,0.600860596
1980,Oregon,0.577,0.031,0.428571429,0.680781759,,0.557587865,0.539115769,,0.548351817
1981,Oregon,0.604,0.047,0.474747475,0.692567568,,,,,
1982,Oregon,0.582,0.036,0.534090909,0.667763158,,,0.501880411,,0.501880411
1983,Oregon,0.541,0.038,0.325581395,0.696319018,,0.504407623,,,0.504407623
1984,Oregon,0.6,0.036,0.475,0.651917404,,,0.56401868,,0.56401868
1985,Oregon,0.59,0.031,0.461538462,0.657492355,,0.58842465,0.564538465,,0.5764815575
1986,Oregon,0.573,0.038,0.402298851,0.686813187,,0.582585797,,,0.582585797
1987,Oregon,0.567,0.036,0.397260274,0.674626866,,,0.507191103,,0.507191103
1988,Oregon,0.576,0.031,0.438095238,0.625344353,,0.714553735,0.480333632,,0.5974436835
1989,Oregon,0.604,0.031,0.415841584,0.672086721,,0.669365737,0.561087564,,0.6152266505
1990,Oregon,0.594,0.031,0.454545455,0.698060942,,0.617484848,0.539611636,,0.578548242
1991,Oregon,0.563,0.031,0.457943925,0.653179191,,0.60888773,0.495550409,,0.5522190695
1992,Oregon,0.572,0.047,0.457142857,0.668407311,,,,,
1993,Oregon,0.554,0.031,0.348314607,0.656914894,,0.618457082,0.481424623,,0.5499408525
1994,Oregon,0.533,0.036,0.369369369,0.670822943,,,0.459421919,,0.459421919
1995,Oregon,0.592,0.047,0.494382022,0.654411765,,,,,
1996,Oregon,0.542,0.031,0.510638298,0.647887324,,0.514609434,0.485562205,,0.5000858195
1997,Oregon,0.493,0.029,0.385964912,0.683333333,,0.47769727,,0.470991358,0.474344314
1998,Oregon,0.518,0.036,0.429906542,0.641552511,,,0.428845818,,0.428845818
1999,Oregon,0.515,0.036,0.4875,0.67839196,,0.455914044,,,0.455914044
2000,Oregon,0.516,0.026,0.442477876,0.663157895,,0.48341024,0.443261333,0.565273686,0.4973150863
2001,Oregon,0.415,0.021,0.394230769,0.596009975,0.391923162,,,,0.391923162
2002,Oregon,0.422,0.02,0.388235294,0.595842956,0.413021218,,0.344836137,,0.3789286775
2003,Oregon,0.427,0.032,0.330357143,0.6125,,,,0.401005045,0.401005045
2004,Oregon,0.407,0.018,0.285714286,0.624096386,0.390742331,,0.339021761,0.449430415,0.3930648357
2005,Oregon,0.484,0.044,0.273504274,0.64785553,,,,,
2006,Oregon,0.451,0.035,0.284671533,0.606334842,,,0.401124999,,0.401124999
2007,Oregon,0.46,0.032,0.3828125,0.596566524,,,,0.477123068,0.477123068
2008,Oregon,0.436,0.035,0.336134454,0.61589404,,,0.365132367,,0.365132367
2009,Oregon,0.456,0.032,0.312101911,0.607802875,,,,0.479956498,0.479956498
2010,Oregon,0.409,0.028,0.3,0.618691589,,,0.363700424,0.455548741,0.4096245825
2011,Oregon,0.413,0.032,0.262773723,0.591522158,,,,0.404535941,0.404535941
2012,Oregon,0.476,0.029,0.284883721,0.576086957,,0.546144912,,0.507561902,0.526853407
2013,Oregon,0.456,0.032,0.345679012,0.621268657,,,,0.531131964,0.531131964
2014,Oregon,0.462,0.044,0.339285714,0.594462541,,,,,
2015,Oregon,0.407,0.032,0.286486486,0.554592721,,,,0.476776881,0.476776881
2016,Oregon,0.414,0.032,0.310526316,0.609965636,,,,0.457074772,0.457074772
1980,Pennsylvania,0.437,0.031,0.259515571,0.614188533,,0.404656365,0.402162662,,0.4034095135
1981,Pennsylvania,0.457,0.047,0.289285714,0.574612403,,,,,
1982,Pennsylvania,0.49,0.036,0.325503356,0.598665396,,,0.462362358,,0.462362358
1983,Pennsylvania,0.417,0.038,0.287037037,0.558823529,,0.379782069,,,0.379782069
1984,Pennsylvania,0.463,0.036,0.305031447,0.598911071,,,0.416143555,,0.416143555
1985,Pennsylvania,0.424,0.031,0.305194805,0.599115044,,0.387580412,0.383913285,,0.3857468485
1986,Pennsylvania,0.415,0.038,0.31294964,0.588586031,,0.356517213,,,0.356517213
1987,Pennsylvania,0.421,0.036,0.252669039,0.589108911,,,0.351042262,,0.351042262
1988,Pennsylvania,0.423,0.031,0.252788104,0.570840198,,0.477609408,0.346807474,,0.412208441
1989,Pennsylvania,0.44,0.031,0.292592593,0.593564776,,0.427636903,0.403136531,,0.415386717
1990,Pennsylvania,0.45,0.031,0.339350181,0.631489362,,0.416819185,0.40658043,,0.4116998075
1991,Pennsylvania,0.437,0.031,0.282142857,0.623992838,,0.461498062,0.352258599,,0.4068783305
1992,Pennsylvania,0.474,0.047,0.293436293,0.60619469,,,,,
1993,Pennsylvania,0.472,0.031,0.300380228,0.640557006,,0.523080949,0.400520977,,0.461800963
1994,Pennsylvania,0.444,0.036,0.32300885,0.621818182,,,0.368269439,,0.368269439
1995,Pennsylvania,0.469,0.047,0.361867704,0.613144759,,,,,
1996,Pennsylvania,0.371,0.031,0.34439834,0.583824768,,0.270017687,0.340006468,,0.3050120775
1997,Pennsylvania,0.372,0.029,0.376,0.601549053,,0.382501446,,0.335035341,0.3587683935
1998,Pennsylvania,0.412,0.036,0.32173913,0.607894737,,,0.343979383,,0.343979383
1999,Pennsylvania,0.389,0.036,0.346491228,0.596590909,,0.316228557,,,0.316228557
2000,Pennsylvania,0.391,0.026,0.278008299,0.61793722,,0.374276212,0.28036228,0.466972078,0.37387019
2001,Pennsylvania,0.363,0.021,0.36,0.573739296,0.344422941,,,,0.344422941
2002,Pennsylvania,0.381,0.02,0.365957447,0.57323689,0.381941676,,0.285342387,,0.3336420315
2003,Pennsylvania,0.397,0.032,0.306122449,0.592694064,,,,0.395777538,0.395777538
2004,Pennsylvania,0.356,0.018,0.303571429,0.563716814,0.349114548,,0.335400862,0.360919539,0.3484783163
2005,Pennsylvania,0.414,0.044,0.257352941,0.602763385,,,,,
2006,Pennsylvania,0.382,0.035,0.283950617,0.576756288,,,0.325146509,,0.325146509
2007,Pennsylvania,0.346,0.032,0.209486166,0.560606061,,,,0.332871043,0.332871043
2008,Pennsylvania,0.384,0.035,0.239130435,0.557403009,,,0.355094429,,0.355094429
2009,Pennsylvania,0.371,0.032,0.289473684,0.563227308,,,,0.375494489,0.375494489
2010,Pennsylvania,0.355,0.028,0.242331288,0.5464,,,0.344755565,0.351842841,0.348299203
2011,Pennsylvania,0.362,0.032,0.289085546,0.557528409,,,,0.357389157,0.357389157
2012,Pennsylvania,0.38,0.026,0.278287462,0.551515152,,0.416533006,0.327087073,0.413479876,0.385699985
2013,Pennsylvania,0.368,0.032,0.320954907,0.564847626,,,,0.440265414,0.440265414
2014,Pennsylvania,0.361,0.035,0.23872679,0.560416667,,,0.306088134,,0.306088134
2015,Pennsylvania,0.368,0.032,0.29342723,0.54972752,,,,0.442179198,0.442179198
2016,Pennsylvania,0.402,0.028,0.270022883,0.559686888,,,0.322193152,0.53924493,0.430719041
1980,Rhode Island,0.113,0.047,0,0.285714286,,,,,
1981,Rhode Island,0.152,0.047,,0.285714286,,,,,
1982,Rhode Island,0.146,0.047,,0.325,,,,,
1983,Rhode Island,0.157,0.038,0,0.355263158,,0.211774581,,,0.211774581
1984,Rhode Island,0.155,0.036,,0.301369863,,,0.176752756,,0.176752756
1985,Rhode Island,0.129,0.031,,0.31884058,,0.143912123,0.13871074,,0.1413114315
1986,Rhode Island,0.171,0.038,,0.375,,0.129337078,,,0.129337078
1987,Rhode Island,0.183,0.036,,0.414141414,,,0.167033188,,0.167033188
1988,Rhode Island,0.175,0.031,,0.358974359,,0.138868115,0.189315556,,0.1640918355
1989,Rhode Island,0.236,0.031,0.173913043,0.441558442,,0.187643463,0.258988034,,0.2233157485
1990,Rhode Island,0.188,0.031,0.090909091,0.342857143,,0.190042095,0.219899659,,0.204970877
1991,Rhode Island,0.216,0.031,0.117647059,0.415384615,,0.208947607,0.233684598,,0.2213161025
1992,Rhode Island,0.246,0.047,0.285714286,0.406779661,,,,,
1993,Rhode Island,0.192,0.038,0.230769231,0.350649351,,0.200814212,,,0.200814212
1994,Rhode Island,0.214,0.047,0.35,0.338709677,,,,,
1995,Rhode Island,0.226,0.047,0.1,0.47826087,,,,,
1996,Rhode Island,0.178,0.038,0.277777778,0.476923077,,0.100570412,,,0.100570412
1997,Rhode Island,0.146,0.033,0.4,0.338709677,,,,0.159051972,0.159051972
1998,Rhode Island,0.147,0.047,0.2,0.323943662,,,,,
1999,Rhode Island,0.166,0.036,0.19047619,0.413333333,,0.127507526,,,0.127507526
2000,Rhode Island,0.153,0.029,0.142857143,0.409836066,,0.207339621,,0.162642632,0.1849911265
2001,Rhode Island,0.134,0.021,0.136363636,0.333333333,0.131276466,,,,0.131276466
2002,Rhode Island,0.136,0.021,0.15,0.409090909,0.126451812,,,,0.126451812
2003,Rhode Island,0.074,0.032,0.133333333,0.144927536,,,,0.147640303,0.147640303
2004,Rhode Island,0.116,0.019,0.066666667,0.3,0.124708772,,,0.149469348,0.13708906
2005,Rhode Island,0.124,0.044,0.095238095,0.34,,,,,
2006,Rhode Island,0.129,0.044,0.2,0.32,,,,,
2007,Rhode Island,0.072,0.032,0.1,0.289473684,,,,0.098185521,0.098185521
2008,Rhode Island,0.092,0.044,0,0.294871795,,,,,
2009,Rhode Island,0.145,0.032,0.045454545,0.40625,,,,0.192004114,0.192004114
2010,Rhode Island,0.091,0.032,0.105263158,0.254545455,,,,0.139520489,0.139520489
2011,Rhode Island,0.1,0.032,0.1,0.222222222,,,,0.203564088,0.203564088
2012,Rhode Island,0.109,0.028,0.111111111,0.294871795,,,0.140375876,0.162484843,0.1514303595
2013,Rhode Island,0.09,0.032,0.133333333,0.294117647,,,,0.196937708,0.196937708
2014,Rhode Island,0.1,0.035,0.129032258,0.195121951,,,0.170355088,,0.170355088
2015,Rhode Island,0.151,0.032,0.111111111,0.37,,,,0.268615243,0.268615243
2016,Rhode Island,0.139,0.028,0.125,0.329787234,,,0.183796508,0.249948395,0.2168724515
1980,South Carolina,0.575,0.031,0.641791045,0.74025974,,0.555532583,0.605255016,,0.5803937995
1981,South Carolina,0.544,0.047,0.658227848,0.763837638,,,,,
